,AutoARIMA,N-BEATS,Prophet,Best model
FFS200X150E/16,0.07317073170731707,1.8170731707317074,0.07317073170731707,AutoARIMA
FFS200X200E,3.6341463414634148,4.548780487804878,3.8902439024390243,AutoARIMA
FFS200X200E/16,1.3658536585365855,2.268292682926829,1.7317073170731707,AutoARIMA
FFS200X250E,0.0,1.3414634146341464,0.0,AutoARIMA
FFS200X250E/16,0.024390243902439025,0.9634146341463414,0.024390243902439025,AutoARIMA
FFS200X300E,4.170731707317073,4.487804878048781,4.329268292682927,AutoARIMA
FFS200X300E/16,1.3414634146341464,2.975609756097561,1.2195121951219512,Prophet
FFS200X400E,2.682926829268293,2.8292682926829267,2.9878048780487805,AutoARIMA
FFS200X400E/16,1.146341463414634,1.7195121951219512,0.9390243902439024,Prophet
FFS200X500E,4.2682926829268295,4.2560975609756095,4.524390243902439,N-BEATS
FFS200X500E/16,1.7317073170731707,3.1341463414634148,2.0365853658536586,AutoARIMA
FFS200X600E,1.5609756097560976,2.841463414634146,1.5731707317073171,AutoARIMA
FFS200X600E/16,0.7804878048780488,2.7560975609756095,1.1829268292682926,AutoARIMA
FFS200X700E,0.24390243902439024,1.524390243902439,0.34146341463414637,AutoARIMA
FFS200X700E/16,0.04878048780487805,1.9024390243902438,0.04878048780487805,AutoARIMA
FFS200X800E,1.6097560975609757,2.3536585365853657,1.7804878048780488,AutoARIMA
FFS200X800E/16,1.5121951219512195,3.926829268292683,1.9268292682926829,AutoARIMA
FFS200X900E,0.024390243902439025,1.4146341463414633,0.024390243902439025,AutoARIMA
FFS200X900E/16,0.0,0.926829268292683,0.0,AutoARIMA
FFS250X1000E,2.9390243902439024,3.8780487804878048,3.317073170731707,AutoARIMA
FFS250X1000E/16,4.682926829268292,6.780487804878049,4.926829268292683,AutoARIMA
FFS250X100E,0.43902439024390244,1.670731707317073,0.9390243902439024,AutoARIMA
FFS250X100E/16,0.21951219512195122,1.3170731707317074,0.3048780487804878,AutoARIMA
FFS250X200E,1.6829268292682926,3.207317073170732,1.9634146341463414,AutoARIMA
FFS250X200E/16,1.4146341463414633,4.012195121951219,1.5,AutoARIMA
FFS250X250E/16,0.07317073170731707,1.2195121951219512,0.07317073170731707,AutoARIMA
